	번호	선택지 내용	갈 수 있는 페이지	나타나는 선물	엔딩	특이사항	글	이미지(영상)	사운드
									
	0	메인화면(친구 방)	5 / 18 / 24 / 50				오늘 친구의 자취방에 놀러왔다. 밥 먹고 한창 떠들던 그때... 문득 친구의 생일이 얼마 남지 않은 것만 같은 굉장히 불길한 느낌이 들었다.  그때, 갑자기 친구가 과자를 사러 간다고 자리에서 일어났다.  단 5분, 그 안에 친구의 방에서 좋아하는 선물에 관한 단서를 찾을 수 있을까?		
	1	진행화면(친구 방)	5 / 18 / 24 / 50				시간이 얼마 남지 않았다..! 열심히 찾아보자.		
	2	최종 선물 선택지	7 / 10 / 14 / 19 / 36 / 46				5분 동안 찾은 단서를 토대로, 친구가 좋아할 만한 선물을 추려봤다. 제발 친구가 좋아해주길...		
	3								
	4								
	5	서랍을 연다.	1 / 13 / 20				서랍 안에는 노트 몇 권과 달력이 있다. 노트에는 '절대 비밀 - 아무도 보지 마시오'라고 적혀있는 것 같다.		
	6	찢긴 종이 뭉치를 본다.	18				찢긴 메모지에는 무슨 숫자가 쓰여져 있던 것 같다. 그리고.. 컴퓨터 비밀번호? 이 숫자를 알아내면 컴퓨터를 볼 수 있을 것 같다.		
	7				떠먹는 아이스박스(기본)	흰색 화면 / 핸드폰에 엔딩 뜸			
	8	커뮤니티 사이트에 들어간다.	28				음....(생략) 그만 알아보자.		
	9								
	10				목도리 엔딩	흰색 화면 / 핸드폰에 엔딩 뜸			
	11								
	12	처음 비밀번호 2자리가 입력된다	28 / 50			이후 어디로든 갈 수 있지만, 1 또는 28이 아니면 틀린 화면 나옴.	처음 두 자리는 12. 남은 두 자리를 맞춰보자!		
	13	달력을 본다.	5				달력은 예쁘게 꾸며져 있었다. 친구의 생일은... 내일이잖아?! 진짜 큰일났다.  ..근데, 이 하트가 그려진 날짜는 뭘 의미하는 거지? 누구의 생일인가?		
	14				초콜릿 엔딩	흰색 화면 / 핸드폰에 엔딩 뜸			
	15	침대 옆 책장에 강아지와 찍은 사진이 있다.	24	강아지 용품			친구의 강아지를 찍은 사진인가보다. 강아지가 참 귀엽다.  옆에 붙어있는 메모지를 보아하니, 개껌을 선물로 사주고 싶은 것 같다.  개껌을 친구에게 줄 선물 리스트에 넣어놔야겠다.		
	16								
	17	로또 메일을 확인한다.	28 / 34				로또 회사에서 온 메일이다. 내용은... 로또 1등?!!???!  치...친구에게... 얼른 말해줘야하는데.....		
	18	쓰레기통을 뒤진다.	1 / 6 / 47	초콜릿 선물			가장 중요한 단서는 쓰레기통에 있는 법.  쓰레기통을 뒤집어 탈탈 털었다. 안에서는 최근에 먹은 것 같은 엄청난 수의 초콜릿 껍데기와 구겨진 영수증, 찢긴 메모지가 있다.  초콜릿을 이렇게 많이 먹었을 줄이야.. 일단 선물 리스트에 넣어놔야겠다.		
	19				새로운 인형 엔딩	흰색 화면 / 핸드폰에 엔딩 뜸			
	20	노트의 첫 페이지	5 / 21				절대 보지 말라했지만... 이걸 어떻게 참아?  안에는 별 내용 없는 일기이다. 3달 전에 쓴 내용인가 보군.		
	21	노트의 두번째 페이지	5 / 22				졸전 한 달 전에 급하게 썼나보다..		
	22	노트의 세번째 페이지			노트 훔쳐본 엔딩	연출 후 바로 검은색 화면 -> 핸드폰에서 강제 엔딩 진행	이번 일기는 콘서트 티켓팅 실패 내용인가? 누군가의 콘서트를 가고 싶었나 보네.  ....앗!! 잘못하고 커피를 엎질러 버렸다...!		
	23								
	24	침대를 본다.	1 / 15 / 32 / 37				침대를 살펴봤다. 침대 위 선반에 물건들이 있고, 침대에는 인형이 있고, 침대 밑에는 상자가 있다.  무엇을 살펴볼까?		
	25	인터넷을 켠다.	30 /						
	26								
	27								
	28	나머지 비밀번호 2자리가 입력된다 -> 컴퓨터 바탕화면	1 / 8 / 17 / 30 			맨 처음 비밀번호 풀었을 땐 이미지 #00, 그 뒤부터는 이미지 #00로 대체 가능?	컴퓨터가 열렸다! 비밀번호는 1228이었군...  컴퓨터에는 친구가 좋아하는 것에 대한 정보가 더 있을 것 같다. 어디, 뭐부터 확인해보지?		
	29								
	30	티켓팅 사이트를 연다.	28 / 35				인터넷을 켜니, 티켓팅 사이트가 나왔다. K.B 밴드의 공연 티켓팅이잖아?!  티켓팅이 열린 지 얼마 안 된듯, 자리가 초고속으로 사라지고 있다. 이거 친구가 놓치면 엄청 슬퍼할텐데...		
	31								
	32	애착 인형이 있다.	24	새로운 인형			침대 위에는 낡아빠진 곰돌이 인형이 있다. 너무 낡아서 불쌍할 지경이다.  어쩌다 이렇게 되버린거니... 안되겠다. 새로운 인형도 선물 리스트에 넣어야겠다.		
	33								
	34	로또 메일에 내 계좌를 적어 보낸다.			가로채기 엔딩	연출 후 바로 검은색 화면 -> 핸드폰에서 강제 엔딩 진행			
	35	티켓을 산다.		콘서트 티켓					
	36				개껌 엔딩	흰색 화면 / 핸드폰에 엔딩 뜸			
	37	상자를 확인한다.	24 / 38				침대 밑에는 상자가 있다. 열어보니, 안에는 그보다 작은 상자가 있다.		
	38	연다	24 / 39				그 안에는 상자가 또 있다.		
	39	연다	24 / 40				그 안에는 상자가 또 있다.		
	40	연다	24 / 41				그 안에는 상자가 또 있다.		
	41	연다	24 / 42				그 안에는 상자가 또 있다.		
	42	연다	24 / 43				그 안에는 상자가 또 있다.		
	43	연다	24 / 44				그 안에는 상자가 또 있다.		
	44	연다	24 / 45				그 안에는 상자가 또 있다.		
	45	연다(최애 락커의 앨범과 생일 날짜)	24				마침내....... 가장 마지막 상자를 열었다. 내가 해냈어!  안에는 요즘 한창 인기를 끌고 있는 K,B 밴드에 관한 여러가지 굿즈와 앨범이 들어있다. 내 친구가 가장 좋아하는 밴드인가보다.  브로마이드, 쿠션, 손편지... 야무지게도 모아놨군... 생일은 12월 28일인가 보네?		
	46				티켓 엔딩	흰색 화면 / 핸드폰에 엔딩 뜸			
	47	구겨진 영수증이 있다.	18	파란색 목도리			꼬깃꼬깃해진 영수증을 펴니, 빨간색 목도리를 환불한 내역이 적혀있다. 색깔이 마음에 안들었나 보다.  친구가 평소에 파란색을 좋아하니까, 파란색 목도리를 선물로 줘도 좋을 것 같다.		
	48								
	49								
	50	컴퓨터를 확인한다.	1 / 12			이후 어디로든 갈 수 있지만, 1 또는 12가 아니면 틀린 화면 나옴.	컴퓨터에는 아쉽게도 비밀번호가 걸려있다, 힌트는... K.B 생일?  아무래도 방 안을 좀 더 둘러보면 비밀번호에 대한 힌트를 얻을 수 있을 것 같다.		
